00000000 Logging: Session Logs Enabled
00000000 Logging: Application-Defined Items Enabled
00000000 Logging: Transaction Statistics Enabled
00000000 Logging: Transaction Timing Enabled
00000000 ooObjy Startup: [Wed Dec 04 19:32:47 2013]
 [process ID = 1104]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000001 QA_MEMORY_LOG: Number of Threads: 1.
00000001 QA_MEMORY_LOG: Starting Memory Usage: 11.28125 MB
00000001 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000001 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 Shared Cache: [initial page space = 4096000][max page space = 4096000][initial large objects = 0][max large objects = 500][max large object space = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000001 Initialize Thread: [thread ID = 6444]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1] (Shared Cache)
00000003 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00003521 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 146000
00003528 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 147000
00003536 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 148000
00003544 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 149000
00003551 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 150000
00003559 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 151000
00003566 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 152000
00003575 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 153000
00003583 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 154000
00003591 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 155000
00003600 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 156000
00003608 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 157000
00003615 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 158000
00003628 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 159000
00003636 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 160000
00003645 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 161000
00003652 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 162000
00003659 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 163000
00003665 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 164000
00003672 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 165000
00003679 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 166000
00003688 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 167000
00003696 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 168000
